Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,73603583180,76769359852,78432261314,91829438202,111195370094,111695087073,129552298948,160751016803,167561696181,182291655482,188623328522,193630213764,213395202173,279746847933,308605772673,306738529473,315024584161,372166447727,386169427708,405599402497,506026679695,575302649753,624729189713,733889102269,791380104203,845582331676,911836549150,1012221641717,1235269695773,1373265431160,1589190799008,1831991666100,2047382566000,2369958855200,2725109381600,2948559590800,3514839464200,3747132821000,4285494202200,4567546203000,4624520243200,5005297097300,4869207183500,5471124488500,5676351752600,6399878820800,7151793953600,8205317615200,9258781485400,10660083106000,12998840810000,15019473220000,16751065029000,19263718648000,20936115597000,22275328570000,25186620207000,28298258514000,30299250460000,33684712325000,37064693901000,40994725778700,44493324396900,48778672884800,53852908437900,..
China,CHN,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,34070000000,44110000000,45310000000,49750000000,55900000000,65110000000,70220000000,71420000000,72630000000,73620000000,79330000000,82630000000,82740000000,90750000000,94520000000,97120000000,96710000000,94220000000,101846416290,125897371860,135948094870,154568474040,176169062240,196090192970,229561746900,254173267220,276405154420,320446284590,383117835340,422820106350,501722159980,528884757200,580028379700,688759768000,947179459000,1202048383500,1387833260700,1426522781200,1461872667600,1454897539500,1471735556900,1550250196500,1619022829700,1697024567000,2090432417700,2180672187000,2331700684000,2767410718400,3246413742500,3358381633700,3843084980900,4478146049700,4908463592200,5302807285400,5562632157100,5777464126500,6013919608700,6209954398200,6474515610400,7047359059300,7803090034600,8321645038600,8820702617400,8916910000000,9141388508100,..
Viet Nam,VNM,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,228000000000,1164000000000,7139000000000,11818000000000,16252000000000,31058000000000,37513000000000,41895000000000,48968000000000,62219000000000,75514000000000,80826000000000,93073000000000,101723000000000,108356000000000,111858000000000,123383000000000,138285000000000,155992000000000,176402000000000,198797000000000,232586000000000,329886000000000,346786000000000,421253372075600,575554558549500,659929433420000,680694089340400,734647540584600,751429894980600,779266831692400,813794273230800,862579575131200,908257218892000,1.0180494787428E+15,1.0696842280861E+15,1.14304782E+15,1.22416137E+15,1.3657092941892E+15,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70365619000,82829840700,74240830400,95884540600,99667031800,146135462000,128206854700,179210501500,190345675000,201903599800,250931898100,259770060700,260435536800,252307521300,314782645600,339621177400,292661422900,378773321200,460115000000,420364000000,432538000000,469350000000,..,..
Albania,ALB,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88429557700,113438518300,97381968500,103224271600,107131253600,114489573800,119263117500,125289914400,138794300200,141161970500,141209491600,144004851900,156145811800,171542666400,179012348900,205502605700,218867368300,233064061700,255910245300,269808819800,270859339900,285265935300,285478731900,297545186700,310912811900,311426726700,332141070500,365122284000,384767943100,389051064000,..
Algeria,DZA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,359666000000,346171000000,407663000000,412383000000,480947000000,511467000000,514508000000,569226000000,624566000000,646529000000,874838000000,996048000000,1128028000000,1413695000000,1662684000000,1811216000000,1988488000000,2189683000000,2324600000000,2550533000000,2650554000000,2682614000000,2826072000000,3410410000000,4502589000000,5039946000000,..
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8020000,7640000,7200000,8770000,9670000,9670000,9740000,10650000,11350000,11080000,12140000,12790000,14920000,14080000,13240000,12910000,13660000,14860000,14890000,14730000,14160000,14950000,15650000,16750000,17390000,..
Angola,AGO,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70736387111.484,151766259548.756,233745402680.381,309046616344.64,397899166413.981,482720528179.998,579538885759.015,671884107219.544,886148782300.856,1127038376327.37,1329127319503.6,1532983877911.69,1855530253058.12,2159875851485.89,2755506766950.2,3463490853635.63,3851649904073.7,4279721295298.02,5778526128853.91,8823858801452.68,12454214876257.2,16204708455581.1,22490999364021.3,..
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10400000,10600000,10400000,10690000,11530000,11650000,12720000,11010000,13280000,13990000,16500000,17950000,18970000,20670000,21550000,22460000,23180000,22840000,23220000,24930000,28310000,29160000,30540000,31360000,30570000,33020000,34820000,34390000,41050000,43390000,47350000,47540000,41630000,42580000,49190000,50740000,53110000,53650000,56110000,58660000,68830000,72980000,76760000,86860000,90010000,98560000,105240000,..,..
