Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,909.433944756022,949.075635684521,959.797584050649,983.939961020012,953.652008963814,1023.70607899666,973.277335743589,1012.12225431432,1020.55333571865,994.482221813239,1043.98227357666,966.310898434265,1050.52269820359,1052.09034281203,1099.52091165633,1140.47998257097,1216.83019215104,1219.85732602654,1224.58508940346,1347.80603044533,1477.85638052437,1549.91854768754,1637.99858475887,1641.89983737188,1661.60524665808,1789.57373878368,1920.10892336577,1978.09430633612,2079.05153159652,1992.04315223679,2011.6374343107,2090.9159236969,2027.54759237308,2111.31565122881,..
China,CHN,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,961.614748010504,1016.03159393514,1096.75440571254,1175.54954109203,1271.84066416061,1368.0916855833,1416.81359908501,1452.62214550083,1469.93529710193,1492.44414119053,1522.06264753774,1548.69289907272,1598.7868535599,1752.25485295457,1903.71542077656,2074.62579977593,2227.39486234349,2408.95142180989,2599.5763782296,2801.51193347822,3061.1131509416,3309.85112779863,3676.32449925576,4067.00566336607,4401.62565437564,4687.98868688864,5015.18626677604,5384.64979721353,5803.63663500628,6423.59603293542,6880.72965131322,6938.42522506275,7555.47487148633,8084.84161650746,..
Viet Nam,VNM,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,610.498284599461,644.95315115485,658.209071551154,673.86188833233,700.266398107668,724.716924735851,805.000345729176,821.550211817576,846.273638407595,871.385667809519,882.36955511948,929.317727010214,988.737444607084,1045.1908939581,1124.72295438745,1205.28585401916,1242.34511609882,1275.3942052643,1287.08635062735,1228.89171633115,1267.39808715412,1311.83478622839,1331.76602635676,1370.32846786034,1467.31401983281,1560.90226629901,1659.8257125719,1803.4515587593,2035.22751572402,2271.97403739261,2647.57486788378,2312.99577075781,2988.35042549122,3198.68544531056,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1139.77933031054,1111.43222909554,833.088776444788,963.024121773124,879.625326410085,1009.96747239299,844.173535767548,1233.10848655918,1175.41616012314,1047.78846362054,1240.21979171202,1243.09008860114,1257.80050302367,1159.53426283376,1207.0075804569,1263.7982667239,1192.51538850989,1395.38735006169,1439.66340520296,1184.12880641462,1170.1614823533,1169.54620584209,..,..
Albania,ALB,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2405.10567573146,2343.3243077671,2032.33641150412,2209.97127488159,2331.87330846661,2504.85559979469,2610.54439196933,2686.61471283936,2746.66066261732,2912.33422284083,2957.26378720721,3124.47195301029,3337.8695388726,3553.35407961551,3484.67356871672,3881.72704033788,3483.12946678542,3861.82577558571,4814.68516564673,5219.25982936925,5146.69681760312,5304.26418816707,5290.98430621997,5343.22239131838,5509.16510335216,5841.18494108329,6131.38883766469,5644.70684267695,5775.69144013499,5836.30143799016,..
Algeria,DZA,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5279.57693687407,4963.99583959193,5339.1052735268,5151.78601647773,5471.70706937321,5230.87890170225,5562.53933545996,6241.73295684163,6981.07213251219,7035.18282517008,9385.09987643878,10763.2462377651,12964.7839528088,14779.9202484511,16876.7307348698,18431.3454966009,20840.4227558383,21469.3568681563,17426.3668702528,17886.777600829,18358.2590711309,20142.7267681459,19454.3489591694,18434.064750332,19231.8394979616,20436.5728228086,..
American Samoa,ASM,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3053.93927990764,3178.26098779452,3321.17658487475,3115.20400327336,3212.79253798807,3082.13231423574,2968.89195162631,2862.38932556929,2885.04359634403,2835.1312892884,2779.17738873037,2692.22641076747,2690.26594274426,2711.17797351427,2682.60827908026,2592.7084875338,2479.83390047786,2380.4310478437,2365.27231132472,2319.41994627424,2502.90255096656,2496.85579050536,2534.5426085731,..
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
