Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93,93.20601527,93.40010909,93.58328715,93.75644511,93.92038326,94.07581885,94.22339665,94.36369782,94.49724759,94.62452184,94.09683127,93.57053934,93.04564049,92.52212921,92,91.93800877,91.87863929,91.82172869,91.76712732,91.71469741,91.66431195,91.61585366,91.56921403,91.52429258,91.48099607,91.35036613,91.22587897,91.10711126,90.99367768,90.88522678,90.7814373,90.68201503,90.58669002,90.49521409,90.40735874,90.40735874,90.40735874,90.40735874,90.40735874,90.40735874,90.40735874,90.40735874,90.40735874,90.40735874,90.40735874,90.40735874,90.40735874,..,..,..
China,CHN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.16787958,87.86021555,87.56375356,87.27789275,87.00207447,86.30940007,85.62683563,84.95485392,84.29321073,83.64166929,83,81.13884136,79.33867244,77.59654365,76.29393938,75.00838555,73.73954956,72.48710743,71.25074346,70.03015002,68.82502728,67.97586922,67.12937781,66.2855405,65.44434483,64.60577843,64.25815503,63.01417819,63.28151986,63.51074719,62.50423585,62.44162775,64.31294547,64.52674355,64.5694259,64.40394583,62.38204033,62.32253367,61.39306791,61.1555836,62.14454059,62.14454059,62.14454059,..,..,..
Viet Nam,VNM,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.55150555,91.91703523,91.32863022,90.78144944,90.27130721,89.79456594,90.11255471,90.41390687,90.69989473,90.97166411,91.23024962,91.60074401,91.94417855,92.26341335,92.56091917,92.8388415,93.09905237,93.34319257,93.57270629,93.78886972,93.99281477,94.16820567,94.33415371,94.49140147,94.6406157,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,94.78239668,..,..,..
Afghanistan,AFG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.00004213,98.97282311,98.944452,98.91485409,98.88394802,98.85164512,98.81784851,98.78245211,98.7453396,98.70638307,98.66544157,98.62235943,98.61427973,98.60620134,98.51857617,98.43110659,98.3437922,98.25663257,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,..,..,..
Albania,ALB,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.33333333,78.37016899,73.33806482,68.23557439,63.0612105,57.81344378,57.77489418,57.74366288,57.71784656,57.69614928,57.67765807,55.39115433,52.86449565,50.05774918,46.9216092,43.39447577,40.67839235,42.57297193,44.54401256,46.59623826,48.73477038,50.96517032,53.29348774,55.72631541,58.27085155,69.56521739,70.26431718,64.01098901,68.16283925,61.18479222,69.33842239,70.85427136,70.89084065,..,..,..
Algeria,DZA,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74,74,74,74,74,74,70.59459459,67.53846154,64.7804878,62.27906977,60,60.08458567,60.16505799,60.24170987,60.31480708,60.38459127,60.4512827,60.5150825,60.57617476,60.63472824,60.69089797,60.12877379,60.015,59.90977009,59.81215649,59.72136119,59.63669391,59.55755452,59.48341875,59.41382662,59.34837284,59.28669892,59.22848665,61.60401765,63.80390576,65.84693661,64.14111044,63.76409864,64.45535936,65.1138088,65.74172892,67.14998588,67.42997902,..,..,..
American Samoa,ASM,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.04166667,71.71314741,67.59640299,63.67626274,59.93897123,56.37202698,52.96404276,49.70462416,46.58426369,43.59424816,40.72657744,37.97389295,35.32941465,32.78688525,30.19462635,27.70393928,25.30896893,23.00430176,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,..,..,..
Antigua and Barbuda,ATG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,19.95262391,19.90918617,19.86921529,19.83231216,19.79813665,19.76639712,19.73684211,19.08023483,18.46590909,17.88990826,17.16549296,16.83937824,16.3590604,15.90538336,15.47619048,15.5088853,15.53846154,15.56534508,15.58988764,15.61238223,15.63307494,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,..,..,..
