Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,380,391.67,403.34,415.01,426.68,438.35,450.02,461.69,473.36,485.03,496.7,497.36,498.02,498.68,499.34,500,511.03995,522.0799,533.11985,544.1598,555.19975,566.2397,577.27965,588.3195,599.35955,610.3995,625.45949,640.51948,655.57947,625.2397,628.94975,632.6598,636.36985,640.0799,643.78995,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,..,..,..
China,CHN,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,443.7,452.0825,460.465,468.8475,477.23,481.06,484.848,488.636,492.424,496.212,500,508.4666667,516.9333333,525.4,529.0428571,532.6857143,536.3285714,539.9714286,543.6142857,547.2571429,550.9,551.54,552.18,552.82,553.46,554.1,568,568.7,576.1,583.2,586.83,595,598.8,602.8,593.4,591.8,604.02,596.22,592.91,591.67,568.48,568.48,568.48,..,..,..
Viet Nam,VNM,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.86,39.342,40.824,42.306,43.788,45.27,46.5196,47.7692,49.0188,50.2684,51.518,53.5476,55.5772,57.6068,59.6364,61.666,63.6956,65.7252,67.7548,69.7844,71.814,73.8572,75.9004,77.7686,79.8118,81.862,81.862,81.862,81.862,81.862,81.862,81.862,81.862,81.862,81.862,81.862,81.862,81.862,81.862,81.862,81.862,81.862,81.862,..,..,..
Afghanistan,AFG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.7,11.98425833,13.26851667,14.552775,15.83703333,17.12129167,18.40555,19.68980833,20.97406667,22.258325,23.54258333,24.82684167,26.1111,25.58118182,25.05126364,24.52134545,23.99047343,23.46031678,22.93016014,22.4000035,21.86984685,21.33969021,20.80953357,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,..,..,..
Albania,ALB,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,1.19178,1.18356,1.17534,1.16712,1.1589,1.29468,1.43046,1.56624,1.70202,1.8378,1.75046,1.66312,1.57578,1.48844,1.4011,1.27242,1.24774,1.22306,1.19838,1.1737,1.14902,1.12434,1.09966,1.07498,0.92,1.092,1.091,0.958,1.131,0.786,0.796,0.797,..,..,..
Algeria,DZA,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.7,3.9,4.1,4.3,4.436,4.555709091,4.675418182,4.795127273,4.914836364,5.034545455,5.154254546,5.273963636,5.393672727,5.513381818,5.633090909,5.807166667,6.043606061,6.220245455,6.396884849,6.573524242,6.750163636,6.92680303,7.103442424,7.280081818,7.456721212,7.633360606,7.8,8.184666667,8.569333333,8.954,9.23,9.802,10.07766667,10.35333333,10.629,9.992,10.292,..,..,..
American Samoa,ASM,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.48,0.492338462,0.504676923,0.517015385,0.529353846,0.541692308,0.554030769,0.566369231,0.578707692,0.591046154,0.603384615,0.615723077,0.628061539,0.6404,0.65346,0.66652,0.67958,0.69264,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,..,..,..
Antigua and Barbuda,ATG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0017,0.001926667,0.002153333,0.00238,0.002606667,0.002833333,0.00306,0.003286667,0.003513333,0.00374,0.003966667,0.004193333,0.00442,0.004646667,0.004873333,0.0051,0.005,0.0049,0.0048,0.0047,0.0046,0.0045,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,..,..,..
