Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,Aquaculture production (metric tons),ER.FSH.AQUA.MT,44843,49359,54368,59927,66096,72947,80561,89022,98471,109321,121671,136697,153958,173080,192321,213817,238123,264948,294854,328082,365180,406622,452939,504733,572000,633250,686260,788310,893330,1004500,1017136,1225261,1395444,1416702,1519528,1658807,1758739,1864322,1908485,2134814,1942531,2120634,2189445,2316947,2804362,2973126,3182817,3114762,3855763,3798842,3790021,3677584,4213980,4492502,4884002,5344002,5701902,6212869,7247902,7933000,8641286,9408300,10235300,11321123,..,..
China,CHN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,958506,777762,741121,856931,1017083,1159540,1320775,1315911,1306208,1513849,1480670,1790968,1987611,1823366,1975622,2157727,2106125,2788044,2987334,2901626,3105342,3033775,3258008,3657489,4271240,5026016,5606227,6325967,7376299,8101298,8392965,9695110,12185159,15221669,18213586,21152498,23465787,23747399,25671893,28000956,29749708,31102502,33160273,34891716,37172411,38943267,40911091.487,42530160.303,44072886.736,46062875.713,47789756.781,49147606.101,52082585.663,55029057.764,57320503.727,59368941.586,62318377.873,64358480.813,66135059.342,68423859,70483538.48,72805297,75434999,78276940.6,..,..
Viet Nam,VNM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,37660,40320,43040,45750,48540,51330,54130,56850,59580,62440,65350,68360,71230,74250,77220,80390,83580,87020,90760,94690,99160,103810,108770,113920,119000,129500,127449,141747,154317,164917,162076,168104,172899,188061,344084,389069,308288,332378,353920,413468,513517,603098,718041,952502,1213617,1452300,1672727,2100400,2477450,2571080,2701317,2860990,3104501,3221095,3355234,3475449.61,3581579.03,3831777.53,4192822.5,4373747,4681434.95,4750173.83,5113494.28,5378859.632,..,..
Afghanistan,AFG,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,170,170,170,170,170,170,300,300,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,1050,1050,1650,2250,2850,3480,4110,4760,5450,6150,7000,7950,8629,9444,11107,11150,11660,..,..
Albania,ALB,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,85,123,164,193,260,339,455,699,1162,1197,1208,2165,2368,3732,2604,4961,859,397,389,395,340,323,97,124,310,307,286,860,1473,1569,1473,2057,2092,2000,2317,2520,2345,3450,3700,4000,3495,4750,4430,6258,6300,9084,8641,8908,9327,..,..
Algeria,DZA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95,141,250,274,304,368,407,150,147,300,389,369,322,322,283,250,351,454,476,417,586,368,288,405,2779.916,2163.232,1758.742,2245.77,2644.002,2192.754,2479.871,1332.29,1959.59,4467.314,7153.416,4835.467,5435.986,4779.287,5208,5258,..,..
American Samoa,ASM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,18,18,18,18,18,20,20,20,20,20,20,20,20,20,15,15,18,18,..,..
Andorra,AND,Aquaculture production (metric tons),ER.FSH.AQUA.MT,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Angola,AGO,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,51,72,92,126,156,190,190,260,310,310,310,57,305,872,655,1339,1792,1934,2062,2808,2336,10313,..,..
Antigua and Barbuda,ATG,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,12,18,19,21,20,20,20,20,20,20,20,20,20,..,..
Argentina,ARG,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,1,2,4,5,5,8,11,15,19,23,27,31,36,42,49,57,67,78,90,105,123,143,150,270,270,353,353,300,300,350,402,707,763,1474,1322,1314,1040,1218,1784,1340,1457,1647,1848,2057,2528,2957,2700,2582.95,2654.35,3193.25,2958.42,3825.12,4002.71,3662.65,3673.485,3567.76,3205.31,2592.19,2084.5,3687,6022.03,5515.964,..,..
Armenia,ARM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565,2250,1570,1120,650,670,437,889,893,1331,1020,1064,813,739,1056,3650,5100,5190,5050,6300,8850,11700,13925,15130,16381,16690,17000,17560,18350,18930,24000,24800,..,..
Aruba,ABW,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.5,1,1.5,1.5,1.5,1.5,1.5,..,..
Australia,AUS,Aquaculture production (metric tons),ER.FSH.AQUA.MT,5700,6500,5800,5900,5800,6600,6800,7300,7500,7500,7021,9800,10400,9200,10484,9204,10439,11126,10236,8702,8994,9185,8841,9056,8785,9534,9083,9660,13080,13685,12401,14327,16422,18359,19129,22395,25323,26543,24570,29601,32083,35883,38908.037,39927.4,45083,44852,51649.48,57936.12,60804.08,71672.163,75678.85,76662.49,81832.82,80061.471,73237.49,83134.9,91651.891,85335.483,96181.688,90929.907,102724.9,128960.759,125280.531,120268.918,..,..
Austria,AUT,Aquaculture production (metric tons),ER.FSH.AQUA.MT,650,660,670,600,680,730,750,790,740,800,870,960,1080,1300,1220,1200,1390,1600,2900,3400,3200,3200,3100,3600,4000,4100,4060,4000,4500,4450,3126,3135,3140,3140,3103,2918,2949,3018,2909,3067,2847,2393,2333,2233,2267,2420,2503,2539,2087,2141,2167,2904.3,3125.5,3237,3390.3,3503.4,3483.4,3861.9,3991.6,4255.025,4541.911,4920.413,4718.718,5170.229,..,..
Azerbaijan,AZE,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,1201,1038,516,419,364,211,216,149.25,480.6,611.6,966.75,1109.6,1344.95,1438.45,1737.5,1919.2,3144.1,3159.2,2789.35,3185.595,2813.9,2746.65,3063.49,3733.55,3809.6,3489.35,3607.78,3462.75,3384.1,3348.35,3447.8,..,..
"Bahamas, The",BHS,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,42,42,37,51,69,49,6,10,8,4,24,1,1,1,1,2,13,25,52,30,85,52,30,20,17,1,1,1,1,9.35,9.33,9,6,6.84,6,6,1,1,1,..,..
Bahrain,BHR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,3,12,0,3,4,8,3,2,1,2,2,3.187,3.424,1.725,0,5.71,6,14.212,21,21,36,46,51,56,61,..,..
Bangladesh,BGD,Aquaculture production (metric tons),ER.FSH.AQUA.MT,49237,50569,51944,53362,54824,58030,57897,59519,59460,62927,64716,68080,68508,70525,70970,73340,77063,77230,82760,87360,91030,96780,101630,107000,117025,123811,144723,166100,175925,183505,192592,210993,226863,237743,264190,317073,379087,485864,574812,593202,657120,712640,786604,856956,914752,882091,892049,945812,1005542,1064285,1308515,1523759,1726066,1859808,1956925,2060408,2203554,2333402,2405516,2488800,2584256,2639185,2731563,2852572,..,..
Barbados,BRB,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,10.5,10.5,14.5,20.5,20.5,25.5,25.5,25.5,25.5,25.5,10.5,5.5,5.5,..,..
Belarus,BLR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8415,7018,6934,5463,6038,4322,4727,4824,6716,4666,6523,5393,4150,5648,8406,14091,14636,15659,16265,16293,15499,13548,10658,9130.9,11199,10353.5,11580.9,9590.7,9266.33,8504.9,7164.4,7438.7,..,..
Belgium,BEL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,20,32,90,147,203,255,310,440,530,600,700,735,675,846,846,846,846,846,946,846,846,1597,1871,1830,1834,1261,739,414,128,128,126,576,539,101,277,212,214,82,44,75,111,86,209,223,243,261,..,..
Belize,BLZ,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,542,99,158,301,602,656,950,1004,1397,1642,3163,3630,4460,4400,10160,11426,11078,7624,3172,4528,5725,7410.7,5102,5883.2,7160,7214.96,4206,1151,565,576,579,524,609,730,880,..,..
Benin,BEN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,15,14,80,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,350,415,298,333,428,484,520,620,787,1545,4579.66,4327,4649.66,5264.137,5892.447,3136.908,2750,3050,3130,..,..
Bermuda,BMU,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Bhutan,BTN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,31,35,35,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,46,46,46,75,78.34,69.8,139,149,185,222,223.62,209.27,181,193,95,43,..,..
Bolivia,BOL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,95,348,515,200,266,649,617,616,380,387,385,398,405,320,418,375,450,430,455,585,693,847,938,1133,1327,1448,1822,4239.4,4277,6492,9177,11734,15542,18902,21483,29050,..,..
Bosnia and Herzegovina,BIH,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4685,6635,6394,7070,7621,7442,7589,7620,7620,4970.2,3638.3,2923.5,3397,4490.6,4603.6,3800.4,3678.8,3997.4,3815.8,3858.6,3959.9,4065.6,..,..
Botswana,BWA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,20,25,35,146,163,171,166,..,..
Brazil,BRA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,10,19,27,50,93,158,286,433,780,1132,1687,3737,5794,7586,9168,10700,10873,10990,13140,15559,18170,20490,23390,29820,30390,30915,46202,77690,87676,103915,140657,172450,205568,247678,273268,269699,257784,271697,289048,331553,365127,411777,436084,480880,477634.465,564221.573,578372.925,543082.013,565296.448,581737.705,600700.09,630900.2,650672.227,738981,793095.871,..,..
British Virgin Islands,VGB,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1,1,1,1,1,1,..,..
Brunei Darussalam,BRN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,1,17,36,72,103,119,157,172,194,113,99,157,160,709,454,475,622,473,433,499.98,530,550,560.85,711.07,983.14,947.63,1632,1245.987,933.195,3500.047,4767.922,5018.305,1690.55,..,..
Bulgaria,BGR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,900,900,1000,800,4100,5100,4400,6800,5900,5800,5600,5300,4600,4900,5800,6188,6250,8134,7767,10042,11500,12720,14636,12919,14571,10560,12138,12647,12141,11615,7849,7798,8132,7897,6100,4615,4727,5437,4252,7780,3654,2938,2308,4465,2489,3145,3257,4032,5157,6722.538,7920.617,5527.175,5975.06,12151.65,11171.795,10873.372,13128.734,13708.627,13770.455,14051.485,13003.603,12973.568,9005.957,9928.228,..,..
Burkina Faso,BFA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,74,33,30,26,7,6,6,5,5,0,0,0,30,45,40,25,5,5,5,5,5,65,250,348,475,275,280,300,302,240,236,236,336,417,453,600,701,878,894,1187,..,..
Burundi,BDI,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,21,25,24,25,30,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,17.3,61.7,160.4,205,225,366,380,440,445,495,490,540,540,615,..,..
Cabo Verde,CPV,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,28,35,35,..,..
Cambodia,KHM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,25,53,106,240,464,934,1610,3000,2200,2500,4600,5538,6400,6700,8550,7900,8200,9511,9600,11800,14100,15000,14430,17500,18250,26300,37515,44000,41010,35260,40000,50000,60000,72000,74000,90000,120055,145000,172500,207500,254050,307408,400400.3,348350,330600,314000,..,..
Cameroon,CMR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,22,40,57,89,120,282,130,124,137,167,138,106,74,57,50,50,57,58,67,67,67,50,150,330,385,395,402,435,546,546,546,570,571,840,1195,1575,1955,4395,5000,5214,9078,6817,8192,8224,12230,..,..
