Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4666099650.11733,5410356406.96001,6249084080.69098,6517736182.71146,7597036165.34259,8303140035.18869,8437352246.94923,9226332695.77026,9769874984.70396,10191575182.5532,9465033878.33394,10248046787.9494,11884034801.0491,13509794583.1496,16143880745.9944,18286186694.1931,18094877655.5263,20019380807.3115,22015873054.1078,25522526247.8386,31238525605.8307,33737287502.5262,35702052076.1125,34075707693.1442,36877276368.8488,43246625499.6012,44793193848.5627,51141118293.6082,60893318399.369,77921854645.6255,102403079760.16,123876214466.489,153529580289.6,199065097558.44,167957671240.179,230967060094.885,307847488405.907,298320584199.861,319109794565.316,328386908293.94,272352729599.999,268614704999.999,304106898883.26,332086853293.32,331271580797.1,281545477868.04,402424358111.46,458271959749.314,435637534735.17,447258013904.37,..
China,CHN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21125000000,20707000000,23905000000,25108000000,25756000000,34734000000,41054000000,43220000000,51519000000,58919000000,69568000000,75659000000,102561000000,128109690000,151077000000,82983000000,78985000000,83794000000,111331687000,118463000000,145460205585.428,388297641441.493,525615268320.748,694870272887.864,897660405046.06,1122737097486.82,1334555205546.6,1119090663054.51,1478072761421.32,1807805443488.64,1973516412824.49,2148588935109.43,2243761278997.2,2142753416452.3,1989518638921.98,2216213798034.65,2417442805605.76,2386640081644.24,2510014622024.19,3215838267844.58,3346824532700.13,3179134920284.02,3408990836685.19,..
Viet Nam,VNM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7255000000,9185000000,9361000000,11540000000,14448000000,15027000000,16706000000,20149000000,26485000000,32447000000,39826000000,48561000000,62685000000,57096000000,72237000000,96906000000,114694000000,132032000000,150217000000,162017000000,176581000000,215119000000,243697000000,264189000000,282629000000,335916000000,371715000000,354721000000,406529000000,..
Afghanistan,AFG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,493700000,705200000,690800000,707800000,728800000,787700000,628200000,497000000,538700000,453800000,252300000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,563299197.53,408756401.27,435773347.55,460318410.71,475530985.177909,505792648.17849,641767413.462016,577859765.734545,614217572.055707,783962916.810291,875242667.370635,863834412.223754,776734541.770538,..,..,..,..,..
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,367200000,418000000,359900000,341000000,319100000,303500000,311300000,311200000,344600000,393700000,322100000,73000000,70000000,111600000,141300000,204900000,243700000,90900000,100670000,91700000,95200000,109500000,85180000,100716315.535505,149032362.106163,194117835.566333,223619399.423827,359838411.991624,546214691.484924,403524040.622964,739411255.845597,962502319.003511,1123281060.92356,1417739063.45629,1239878797.11331,855336790.67565,789221582.359357,901243616.770574,1163648667.07628,1014731694.61822,908550736.111017,1478240815.12914,1981771481.23756,1882668664.07465,1816570404.77673,..
Algeria,DZA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6008790000.06241,6339796769.04102,9483901108.01671,13651773968.0391,14116938313.3983,13509235789.0497,12742231877.0343,12791933178.8858,13034130235.8884,8064535565.80268,9028522137.77711,7620249883.06103,9533869206.49663,12963761313.8326,12330295094.8349,..,..,..,..,..,..,..,..,..,..,..,..,..,46333999999.9978,54740000000.0024,60490141390.8793,78062556458.6755,45174562427.4691,57098374720.2374,72779523483.5669,71438958669.5034,64817044406.842,60033584183.5462,34449182417.5877,29316936939.4037,34569616295.8511,41123518094.3812,35312712054.1985,21914992637.4198,38628351310.4942,65691533456.6677,55554381182.7887,48832363820.1814,..
American Samoa,ASM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,129972471.326502,169400776.66489,176790151.985036,198648978.251375,235992368.537761,254957182.635798,..
Angola,AGO,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2301000000,1346000000,2322000000,2492000000,3014000000,3883900000,3449300000,3832800000,2900500000,3016600000,3722700000,5095000000,5006760000,3542870000,5156530000,7920710000,6534320000,8327889093,9508176643,13475002110,24109411611,31862236056,44396193769,63913941114,40827945315.81,50594853215.38,67310283732.3282,71093269879.5401,68246518070.6135,59169884894.9568,33181130225.644,27588875075.4791,34613454927.6953,40757766796.592,34725561391.1333,20937437117.7635,33581489802.656,50037992659.7085,36884699366.8234,36795038475.6535,..
Antigua and Barbuda,ATG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6600000,12600000,12000000,59500000,51400000,49300000,36500000,35200000,28300000,31529629.6296296,26303703.7037037,28192592.5925925,29144444.4444444,33425925.9259259,55203703.7037037,75007407.4074074,62077777.7777777,44448148.1481481,53144444.4444444,38033333.3333333,37874074.074074,36433333.3333333,37875585.1851851,52353966.6666666,44649629.6296296,33639382.2222222,44725100.3703703,57061044.4444444,82670221.4814814,73995931.1111111,59283601.8518518,65385681.1111111,50741039.6296296,45715381.1111111,56151357.037037,59042073.3333333,63497722.9629629,98707946.4701851,67572501.5259259,50060382.7148148,37177841.7403292,42970058.4666667,50071207.4074074,37147484.8148148,50554548.1481481,82674688.1481481,84434882.2222222,93409894.4444444,..
