Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4952304783.01183,4623350614.0528,5316946297.16098,7401892098.99882,9818602080.33024,13946695584.5788,14148500783.5991,14046301494.9073,13867570752.9428,14216303266.8581,15081203788.1064,15686464960.8299,17660894318.0343,20091207198.3753,22254274860.5929,23437059205.4119,21086827022.4648,22930537818.4388,24108390143.2923,29672617824.4151,37957312940.7161,43788952391.3716,45730082604.0522,44827962413.3549,45556209177.1434,53887205923.7175,51212270438.5316,54702279750.0866,68081180950.5986,95539056499.9736,134692007368.159,166571862854.35,208610899982.439,323916518439.239,275227034893.345,360146062834.112,475304047599.557,499988961274.995,481686257768.227,472434264990.841,409236978522.587,376090254275.983,452241383880.367,518778502581.258,488949591560.279,376995339958.456,579145188795.842,725459576902.128,681116569640.193,726909219683.928,..
China,CHN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16876000000,18717000000,23891000000,38231000000,34896000000,36395000000,46369000000,48840000000,42354000000,50176000000,64385000000,86313000000,95271000000,110059580000,131542000000,69431000000,70323000000,87136000000,124897211000,141031000000,163480624559.982,354608469126.515,480719715647.781,564741526453.618,681974284756.534,819890833109.47,990087588240.065,883613955794.43,1239986291933.41,1579104690854.72,1661946659669.31,1789607637369.56,1808719657195.09,1566562344086.58,1500635639562.88,1740272384900.77,2037369286973.76,1993646753421.34,1998911642462.17,2653132321663.28,2681775482099.74,2585093890552.85,2641014638228.82,..
Viet Nam,VNM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10030000000,10432000000,10350000000,10568000000,14073000000,14546000000,17760000000,22730000000,28772000000,34886189000,42601559000,58999100000,75468000000,64703000000,77373000000,97356000000,104781000000,123319000000,138091000000,154643000000,165539000000,204273000000,227157371000,242694753000,251921000000,318450000000,342317000000,310693000000,363111000000,..
Afghanistan,AFG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,629300000,773800000,897300000,829100000,890900000,1204700000,921600000,1138800000,904500000,731800000,623500000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2978918383.22979,3215894020.92958,4688147551.76784,5650088841.7897,7991393124.94796,8526069937.93535,6748012293.16332,7246177416.44332,6209193783.65473,6716214782.26237,6620779250.25141,6158190049.50903,5877640990.86802,..,..,..,..,..
Albania,ALB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,353900000,383200000,437700000,382800000,353200000,344100000,316600000,315600000,382300000,455800000,455900000,281000000,540500000,601500000,601000000,679700000,922000000,570600000,654210000,783100000,921000000,1151000000,1237300000,1463316336.14783,1837926826.12004,2117458690.17944,2499761211.87343,3419700000,4356803971.35104,3796274373.20188,3775932875.84847,4460790005.25754,3981753338.69464,4029275072.88955,4170432937.45878,3403344744.61318,3670525694.47668,4105844351.5126,4544969328.78644,4532093324.76997,4328412668.93891,6007913364.52887,6503606376.33389,6895967997.71276,7867974154.59142,..
Algeria,DZA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6197612192.5434,7292922163.26506,7804806313.55337,9596216239.84578,10088029089.2022,9888742305.66495,9515953894.40276,9234504728.99345,8811010780.06285,7879095055.98305,6615610109.81685,6674650451.13078,8372282528.33706,8776771070.07994,6852425515.79004,..,..,..,..,..,..,..,..,..,..,..,..,..,19816999999.9991,20520000000.0008,26408223359.3417,37979983494.3952,37384686145.4077,38797066194.14,46800967101.0699,51508891623.9591,54871842663.8759,59457444971.2747,52261207236.1659,49316882927.4104,48810762377.0038,48284091542.4764,44320173281.7055,34907242968.8531,37395018713.6665,38692983623.5322,42851913054.6296,45331729396.2413,..
American Samoa,ASM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1473761457.12936,1222357790.72572,1503879368.66943,1784379768.41545,1882355726.96742,1952347954.66753,..
Angola,AGO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1401000000,1086000000,1303000000,1372000000,1338000000,1578200000,1347200000,1988034000,1462600000,1454100000,1467668000,2040461000,2597000000,2079350000,3109080000,3039510000,3179180000,3760118414.83,5480121172,5831784555.6,8353237654.472,8777632624.254,13661464164.47,20982185983.481,22659935299.34,16666858026.86,20228447301.57,23703843194.26,26330987036.3,28580270905.54,20692537061.32,13040490877.77,14463243323.9856,15797847354.35,14127058396.87,9543140272.92,11794847513.83,17267321011.42,15084852031.75,14190242035.7676,..
Antigua and Barbuda,ATG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37000000,42088888.8888888,67718518.5185185,114714814.814814,125259259.259259,126714814.814814,99718518.5185185,150166666.666666,174800000,212492592.592592,222014814.814814,204500000,246329629.629629,235440740.74074,258785185.185185,261770370.37037,270429629.629629,287503703.703703,291040740.74074,309940740.74074,313855555.555555,320837037.037037,352705185.185185,342390740.74074,317498518.518518,302992222.222222,352284404.074074,402358690.37037,455354766.666666,559702264.444444,648910962.962963,669885794.074074,478906695.555555,453883552.962963,430444175.185185,492347436.666666,503069396.296296,532352266.305777,426109557.430666,443151157.448148,493872461.369777,622729546.1,626763854.074074,440324785.185185,525235652.222222,724982560.37037,750461211.111111,736587441.111111,..
