Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,3985661717500,3989017941400,3909672432400,4001129531700,4370204710600,3887638093400,3832333361600,4402234759700,4395266947200,4677773439800,5009528869000,4915481640400,4668799189100,5005041743600,4928797093700,5564108375700,5242604021500,5768765067800,5901591273800,5147681256300,5811126015800,6078535050200,6061464400200,6674943641300,6780747663500,6802057741000,6774204372300,6666643785700,7709283372500,7800958681300,8114174646100,7955746340700,8484883569500,8766811375500,9180252458500,9116415088100,10020790745000,9764887021900,10382072259000,10659182989000,10658370957000,11298628847000,10552440902000,11507287081000,11528406722800,12082849771200,12437940014200,13122832275500,13090787072200,12975557644000,14116337308500,15019473219500,15242881949900,16091982978600,16057152172200,16161459322500,17260043995700,18400228955800,18785983500900,19943258161800,20742124041400,21701064715800,23059776214600,23672865146000,24768049898000,..
China,CHN,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,697870119344.296,707640301053.756,739484114568.16,823045819514.634,929218730303.923,1019352947099.72,1092746359354.31,1113508540121.52,1095692403577.44,1104457942684.05,1189501204322.77,1212101727284.63,1201192811604.55,1309300164669.51,1362981471388.21,1390241100934.95,1365216761022.05,1335181992332.61,1320319802803.72,1401313916423.59,1380539862975.96,1476936533908.24,1647209951435.02,1784354897218.3,2014190754122.93,2051330003449.6,2119407231446.92,2219108061968.08,2275560686362.46,2345534171391.89,2517408632741.37,2576656605000,2696496981500,2821861963900,2933199818300,3078177400200,3233314275300,3344431661300,3459245818600,3553730735400,3636479996500,3732412929400,3833186083600,3924111418200,4163679203800,4374940722500,4582981329300,4744469546400,4989094617500,5188779426800,5409358056000,5635160308000,5886857107400,6110981521100,6358504886600,6606392564500,6822937795600,7093214216500,7340265015800,7566109817000,7803090034600,8354983712100,8706188779700,9058714167000,9374270599900,..
Viet Nam,VNM,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,173487586803493,178668862798286,176629313614035,183072930601095,195894198684078,197844252364664,202149400966000,216054038794500,223138230219400,230651071516500,241724846051000,252360566763400,263116088966400,272562783883000,286830105693300,300122420418800,309641028365700,322605497739500,334585283538600,349501062232100,364142786594200,377972970222300,392922740146000,411359798316800,419216022445600,421253372075600,439124034709600,451733369211800,463167883044600,478005293124400,489988999618200,498092304147700,513873793992600,535021980267900,549291561927100,565986831419400,586989209529100,608728780000000,632646920000000,653355260900300,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,271712876700,279316246100,217206491100,255647920000,242586225700,278247483500,236743171300,342242924000,320424477300,296096814300,350059835300,350078274400,349725727700,329940981400,349644238100,372060136500,355632523000,417725338500,442548000000,399264000000,373056000000,381356000000,..,..
Albania,ALB,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,168672608400,173733486100,144003902600,151476228300,159648627600,170338811500,174925503300,178507110000,183762622600,195354507800,197151044500,203298253800,210228436600,225094674700,228013969900,244556306800,256232354400,272546913800,286602285200,290929896800,292224798600,303511499100,295077779100,299207339100,305936213600,311426726700,306187629100,291411132700,287395062200,281658210400,..
Algeria,DZA,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,378829527000,361403368800,407663000000,411331967000,459457807139,476457746003.143,490275020637.234,532928947432.673,544120455328.76,525620359847.582,649141144411.763,690037036509.704,756970629051.146,830396780069.107,930044393677.399,958875769881.399,1025997073773.1,1042413026953.47,1000716505875.33,1033740150569.21,1060617394484.01,1090314681529.57,1066327758535.91,1121776801979.78,1155430106039.18,1216667901659.25,..
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10300000,9520000,8690000,10250000,10970000,10610000,10330000,10950000,11410000,11120000,12140000,12770000,14870000,13970000,13150000,12730000,13420000,14440000,14330000,13980000,13290000,13680000,13740000,13840000,13900000,..
Angola,AGO,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,878860480835.96,952032195440.461,1041552470793.68,1087058719209.75,1240938239618.52,1310096968099.48,1384317965395.44,1457812562294.53,1615236097398.79,1737629925351.14,1847675110201.01,1932192012549.99,2081839332302.4,2159875851485.89,2212809388505.38,2211009440331.77,2195462521429.16,2182264932881.31,2275606077632.39,2480442223818.99,2575945726433.76,2644792940057.76,2765993779491.16,..
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43270000,47100000,34300000,36410000,39150000,43360000,40760000,32860000,35510000,37110000,42310000,43350000,44830000,47610000,49040000,50830000,51980000,48610000,46230000,46590000,48370000,49590000,50900000,52250000,49480000,46170000,51470000,52860000,51170000,55420000,53990000,55600000,54930000,60900000,64540000,60750000,61530000,61290000,61550000,63190000,72240000,72980000,73470000,74650000,75110000,77670000,80100000,..,..
