Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
India,IND,41.74133512,41.0924822,39.0659688,39.82535168,41.34371671,39.38469726,40.35165124,42.75155802,42.08602738,41.58492358,40.28961346,38.63339119,38.6268263,41.60382462,38.8780587,35.99691484,34.31203671,35.77714426,34.27396271,32.82553002,34.40886781,33.29769742,32.32674969,32.60653488,31.38053041,29.71813836,28.64114627,27.9723784,28.76982237,27.8396058,27.58488814,27.66270541,26.89691945,27.05455877,26.51993758,24.45754779,25.19930606,24.24867451,24.18045155,22.97256189,21.61106205,21.61888489,19.53454327,19.59199798,17.81469065,17.62020695,16.80944209,16.75011976,16.79094236,16.74427016,17.02650901,17.19197356,16.84537707,17.14842354,16.79193451,16.17450811,16.36380056,16.5583314,16.03163069,16.7555683,18.66853766,17.37256153,16.54612959,16.19318936,16.28543356,
China,CHN,23.12495758,35.71949146,38.90272173,39.77136462,37.95749304,37.47985264,37.1141649,39.73517303,41.56461028,37.45230707,34.74205133,33.57851105,32.36456092,32.87328842,33.37334934,31.90224354,32.30558525,28.94267986,27.63960494,30.65284667,29.58158602,31.25942404,32.72328223,32.50562668,31.47958791,27.88241065,26.58969086,26.27448812,25.19451253,24.56828044,26.53266912,23.96299005,21.24988568,19.22851861,19.38470759,19.49813597,19.21924566,17.78152423,17.02546318,15.92159174,14.52725195,13.82210696,13.12949383,12.17576009,12.72884294,11.48281235,10.47586237,10.09341946,10.00997707,9.472995817,9.166499061,9.033845859,8.965056735,8.784421316,8.482429409,8.224013595,7.900650175,7.328392393,6.917142892,7.006215758,7.540181985,7.089352516,7.147886928,6.889519411,6.775998813,
Viet Nam,VNM,,,,,,,,,,,,,,,,,,,,,,,,,,,38.06343907,40.55749129,46.29701686,42.06741893,38.73674175,40.48913398,33.93858792,29.86995394,27.42782887,27.18268878,27.75882604,25.77170679,25.78078041,25.43443799,24.534582,23.24104759,23.02944218,22.54243671,21.80769935,19.29997888,18.72678545,18.6550997,20.41314392,19.16845987,15.37509069,16.25914849,16.19950764,15.21561225,14.88034893,14.47472618,13.81825537,12.92987949,12.30666843,11.78452855,12.65540357,12.60309047,11.88029983,11.86167116,11.8634907,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074,29.97558252,33.59761887,33.70143232,34.74324714,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.83744976,33.56166119,28.94131451,26.26104283,23.6225673,22.17901395,20.45240541,19.76391647,19.80762033,18.56307999,17.1247179,16.04157503,15.53254945,15.4221004,15.27922173,16.35860819,16.72022295,17.59136855,18.92481742,19.23775892,18.74716028,19.16719075,18.07907821,17.91555582,18.16039737,18.80613786,17.79322498,16.98447545,16.27423883,15.45190313,
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10697987,8.395048495,8.886179657,8.413026448,8.456719507,7.722174034,6.55927137,6.366002714,6.326018784,5.54975092,8.011217415,7.531715615,7.083525122,8.026971674,9.120074642,9.407074409,10.5327897,11.06831305,11.03188093,11.24383014,11.47917989,12.83416939,11.23543456,10.64706386,13.36924504,13.95970615,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517055748,0.441953155,0.385887246,0.419117893,0.414741998,0.380576808,0.353522338,0.368796684,0.406917964,0.418928933,0.466508602,0.490560827,0.601164454,0.585558984,0.537623493,0.51342011,0.521999648,0.559538513,0.546367883,0.522633248,0.55944277,0.531844879,0.487491862,0.478492136,0.465923796,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.386790604,10.00007685,10.36359144,8.565367317,8.441008978,8.616240422,7.818318033,10.36614746,10.09130686,9.556306022,9.696979324,10.3295507,11.47821589,13.66377233,14.67114133,14.928326,13.33979057,12.39115857,15.02236743,16.5619237,18.98909298,20.68976233,22.06932628,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,4.969656425,4.45921501,3.514582136,2.98920642,2.858559564,2.592345349,2.548383219,1.921533038,1.996392063,1.741305917,1.761804087,1.615996111,1.543569005,1.599176815,1.582568976,1.584077412,1.517720931,1.353305051,1.395986389,1.359561101,1.427678094,1.367454031,1.353741406,1.289097344,1.28987886,1.361733715,1.360225324,1.241027899,1.329115563,1.23269847,1.179054416,1.130389502,1.1120312,1.214648813,1.415185263,1.377019461,1.484000402,1.441231857,1.445683176,1.458503753,1.660911511,1.626791912,1.646712046,2.278940657,2.080800048,1.955660323,1.943267807,,
