Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,83909610037.6053,83980268176.3558,82309817648.8581,84235251888.2313,92005342912.2843,81845931618.3884,80681608399.9384,92679667308.0718,92532974871.2493,98480546769.5554,105464950029.321,103484986139.688,98291613054.155,105370483170.568,103765314620.394,117140439180.275,110371850449.359,121449049504.703,124245422086.776,108373454003.256,122340868951.37,127970596055.032,127611209913.88,140526707398.488,142754185511.904,143202823760.615,142616430465.974,140351971634.108,162302525228.264,164232553403.437,170826647766.369,167491277565.064,178631133797.729,184566522683.431,193270643230.274,191926683497.672,210966384826.259,205578877522.714,218572396851.924,224406372472.444,224389276869.935,237868541715.095,222159145404.616,242261395972.947,242706025004.004,254378641316.38,261854309330.919,276273255703.394,275598612268.234,273172702326.438,297189386022.08,316202987143.878,320906381655.397,338782393532.651,338049105163.122,340245069830.013,363373427943.486,387377591405.895,395498830924.907,419862781602.445,436681199516.655,456869650956.175,485474424792.684,498381705138.697,521438485159.931,..
China,CHN,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,98001904439.7608,99373931107.3436,103845758002.538,115580328656.863,130490191063.695,143147739590.739,153454376850.177,156370010001.831,153868089855.545,155099034557.256,167041660225.473,170215451780.953,168683512696.034,183865028841.564,191403495019.469,195231564936.566,191717396754.216,187499614033.073,185412516681.284,196786520472.442,193869220040.215,207406205033.773,231317701930.602,250576967370.535,282852817934.765,288068282908.243,297628368385.159,311629356526.735,319556998860.053,329383375721.717,353519707210.781,361839900259.017,378669084945.722,396274090067.307,411909265531.888,432268468101.875,454054340268.058,469658555354.097,485781908052.76,499050425403.714,510670904564.511,524142766823.817,538294341385.113,551062986589.46,584705491950.308,614372948105.172,643588091585.394,666265882741.22,700618582730.779,728660321525.209,759636179555.386,791345590962.166,826691373793.173,858165166358.876,892924873845.896,927735741725.116,958145189639.418,996100108812.988,1030793453826.12,1062508840417.27,1095787973590.6,1173290405553.28,1222610134998.11,1272115276945.19,1316428868436.22,..
Viet Nam,VNM,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12261948759.1564,12628156750.8969,12484003223.5474,12939432356.9785,13845628213.164,13983456277.6931,14287740362.3517,15270507831.2474,15771212197.7827,16302213157.0909,17084897719.2221,17836621025.7424,18596811795.3594,19264495813.2479,20272897464.292,21212386479.3722,21885153246.4585,22801470442.8655,23648191077.5852,24702425085.9801,25737289177.3063,26714794289.3554,27771430767.7521,29074545686.3775,29629816639.6642,29773814704.4701,31036897288.9232,31928113867.595,32736295163.3696,33784990147.6579,34631987893.6014,35204722270.4599,36320143975.1868,37814879023.5828,38823440398.7427,40003447238.4642,41487876695.0412,43024410253.8496,44714923174.6762,46178570342.0913,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3251434260.06993,3342419479.68623,2599187183.35852,3059194012.80851,2902892107.43922,3329630202.35891,2832971581.44005,4095427430.14251,3834338423.38109,3543223044.8745,4188967984.85391,4189188635.13075,4184969908.2431,3948217043.4989,4183994768.30679,4452233141.52337,4255653185.52791,4998682776.44351,5295721521.92899,4777766384.05654,4464150076.56738,4563471480.41964,..,..
Albania,ALB,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1241174685.29241,1278415072.72808,1059650409.07279,1114635397.96385,1174771867.21917,1253435414.09653,1287186512.18768,1313541707.68079,1352214312.90834,1437513014.34857,1450732800.8592,1495966941.96088,1546962581.01218,1656355555.78312,1677837142.71953,1799563663.64442,1885481672.75603,2005532096.59817,2108958321.75437,2140802982.34657,2150331496.48615,2233384501.20317,2171325107.76555,2201712408.83368,2251226723.98616,2291628576.62619,2253076760.91302,2144344149.00308,2114791958.60161,2072577426.58615,..
Algeria,DZA,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7291689257.25978,6956271552.23424,7846674310.79704,7917294379.59421,8843617822.00673,9170831681.42098,9436785800.18219,10257786164.798,10473199674.2588,10117110885.334,12494631943.3875,13281793755.8209,14570127750.1355,15983430141.8987,17901441758.9265,18456386453.4532,19748333505.195,20064306841.2781,19261734567.627,19897371808.3586,20414703475.3759,20986315172.6866,20524616238.8873,21591896283.3095,22239653171.8089,23418354789.9146,..
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11589577.9188556,10711920.5618937,9778003.11794709,11533317.8318709,12343463.084451,11938390.458161,11623333.9710464,12320959.0496572,12838551.8499167,12512243.3454053,13659949.1198939,14368826.2159015,16731749.8692605,15719068.3035352,14796402.8769855,14323818.1463138,15100207.3467031,16247913.1211917,16124140.9298253,15730320.3209321,14953931.1205428,15392759.7990237,15460271.9034054,15572792.0773749,15640304.1817566,..
Angola,AGO,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5701223554.43051,6175893097.45564,6756616788.61241,7051818701.77238,8050044888.32758,8498681936.42316,8980158242.66754,9456922343.57,10478138777.724,11272115284.8655,11985985362.7656,12534251856.625,13505023489.7041,14011251327.8833,14354634532.2206,14342958154.5157,14242104307.7685,14156490715.7008,14762000628.4303,16090785670.997,16710322936.0246,17156939167.5301,17943176682.6556,..
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14609499.6540001,15902644.6430183,11580906.8207119,12293318.2898577,13218440.2924452,14639886.8730632,13762033.8779071,11094711.3157024,11989446.0992268,12529663.3270151,14285369.3173271,14636510.5153895,15136211.4510937,16074838.8843758,16557658.0317116,17162026.0552998,17550307.1877727,16412474.6517435,15608901.5254084,15730450.4016608,16331442.0675753,16743357.7037639,17185660.5590155,17641468.8449619,16706217.7693534,15588643.3793664,17378112.9464151,17847426.6630562,17276822.2162048,18711774.2275175,18228955.0801817,18772548.6656437,18546332.7015074,20562018.2326925,21791012.4259109,20511372.8675873,20774728.7661341,20693696.1819659,20781481.4814815,21335204.1399645,24390807.8346421,24640658.3024942,24806099.8285044,25204510.0339983,25359822.4869874,26224170.0514487,27044624.9661522,..,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,12080720588.7014,12191559154.1438,12501897648.7959,11969896100.2228,12501897648.7959,11340359480.806,11518813202.5822,11740460692.6889,12998419990.7268,13353068426.1714,12986231181.1836,13599135073.7277,13931621872.4239,14319534274.2073,14729623080.0066,13844883569.7739,14328638159.418,15400165409.057,15712405690.5718,15768704844.1668,15501406601.7872,15529112668.282,15105479664.4285,16293702874.3116,14954732770.0941,16222970486.2149,16887000661.6969,16918748006.0843,17329141370.9216,18590284978.6484,19622510242.351,19447851983.0942,19566272807.7905,21189505886.1225,21692618811.4535,21309553902.6016,21627306249.139,21054073055.8567,22479521815.6923,22565691391.0902,26805441680.7326,26664565464.8078,28941074853.8233,28308474664.4282,20919550469.5432,29187788956.6123,28478968407.4165,24812257625.5612,27659866051.802,28518498326.4708,30669352553.9863,29222696567.4324,30229437336.7126,25821525206.243,31356470760.2685,29000518278.3883,29541085595.2382,28334814890.5152,21716725479.9961,28406248459.5977,..
Armenia,ARM,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,718842879.311973,704466045.165839,643177490.16443,605873210.279876,624655253.729882,649641481.089983,662599803.235749,632785861.39631,714157289.261322,724155526.816388,716189816.080482,803114714.276773,834187361.138464,869334201.895627,995717531.695708,1108016049.86084,1113374390.62711,1228052042.12764,1264893603.53317,1339807607.92757,1126700802.55571,1284438914.95399,1406460611.98412,1513351618.49492,1605666067.31512,1817613988.15802,1726733288.76852,1638669890.99201,1525601668.43369,1437116771.6719,1383943451.19954,1372871903.49866,1334431490.16536,1329093764.29558,1349030170.76001,..
Aruba,ABW,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,443175.996028381,424758.880137153,370949.720670391,620475.925192845,736254.690785397,384770.536246631,332282.945395923,309587.605277186,667361.034237045,834426.501546094,..,..,..
Australia,AUS,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12622413730.142,13666266562.73,14031480537.0183,13572104580.409,16518702041.471,14487493565.6875,12701106243.9389,14778723125.2949,11547621960.5055,16547623221.7554,16579907329.9797,15421714947.4303,15587171002.0803,15250878208.0764,15923463796.0842,17228279836.8192,18183351371.7903,17218863638.5871,18124163840.0456,18874769356.2623,16109097418.3743,19502964295.4615,21085558184.0438,21240252869.2856,23358224885.9221,24947544630.3845,25947679399.7521,26770251573.8856,21000139814.3669,26347195239.0287,27483192297.1738,28290295002.7832,24000544122.4695,25973237652.0964,30552200335.2533,30328901920.0347,31353922356.1586,31641788987.8259,31378135437.3269,31717791159.2708,32246443431.4449,29934766765.4622,32765679505.3869,31845582420.9923,28497451363.8895,25723708398.9455,31218060067.381,36538212068.5225,38227074480.01,36693579339.3523,..
Austria,AUT,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3444244938.71044,3367913541.07057,3413404399.28624,3523034948.2073,3443632465.36663,3312742988.47822,3536616163.17265,3414436449.56486,3422980561.69199,3308341244.99844,3376411881.16845,3341264411.75363,3443225966.15446,3425956833.40363,3687114595.35487,3577045942.72525,3502824417.67188,3438710882.41177,3706985105.10156,3717073478.31085,3655817425.44836,3790846001.55346,3950826872.4625,4188943866.73621,3957380991.12737,3986587905.03134,3916367073.29669,3751125688.45428,4130215083.77459,4072483477.16454,4010294546.75348,4453861473.94748,4786641563.57669,4450204070.84817,4182944461.47347,4824981087.12676,4506961387.12127,4196085393.10982,4531376405.4866,4340597497.75195,4567172311.98249,4519756848.91778,4648491771.00066,4581193810.27684,4440599573.37669,4700974851.58976,4859556406.17593,4622938990.76534,4725313583.23967,..
Azerbaijan,AZE,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1886052156.45094,1578625697.33712,1376561566.72414,1280202174.34578,1318608305.74229,1227624291.29224,1303737054.00711,1396302232.24597,1669800766.4937,1867531015.45199,1987041110.38697,2098575498.40083,2203310489.26138,2368540761.19267,2389838191.74209,2485394285.92252,2637225709.32774,2729263832.97033,2669627677.77152,2823986854.19338,3010682039.69604,3157861363.70484,3076168314.82122,3278858128.92118,3364292252.26943,3505705818.17033,3666764729.00897,3935787744.72541,4051260671.75447,4184873870.98441,4327014230.49296,4457634032.55137,4521960332.67259,..
"Bahamas, The",BHS,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,126755152.791751,124504957.248491,154624066.39839,133556582.49497,147419089.034205,148953866.197183,145347931.086519,157933511.569417,144555835.01006,130673038.229376,122712273.641851,133779678.068411,138730885.311871,155234909.45674,170282696.177062,158438631.790744,143682092.555332,129896378.269618,121644366.197183,125818913.480885,129993460.764588,131546780.684105,121450201.207243,125236418.511066,101936619.71831,95820422.5352113,96500000,101354124.748491,96208752.5150905,84267605.6338028,65627766.5995976,76501006.0362173,51744969.8189135,51550804.8289738,68831488.9336016,83296780.6841046,..
Bahrain,BHR,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86172947.212167,84340119.5343629,86593596.1874007,94555880.3614678,86473410.7659054,87855543.1131019,89688370.790906,91010410.4273549,101346356.675955,98191489.3617021,105012012.031563,104110621.370348,108016647.568947,106934978.775489,107115256.907732,114867216.594182,119915004.296987,125533672.751895,128885644.1574,..
